State,Population Density,Active Military Personnel,Gun Owners,Preppers,,,
Wyoming,"578,759","3,102",0.538,13.3,,,
Vermont,"623,989",168,0.288,11.7,,,
Alaska,"731,545","17,302",0.617,7,,,
North Dakota,"762,062","6,583",0.479,8.8,,,
South Dakota,"884,659","2,809",0.35,5.6,,,
Delaware,"973,764","3,196",0.052,2.2,,,
Rhode Island,"1,059,361","3,371",0.058,1.8,,,
Montana,"1,068,778","3,208",0.523,7,,,
Maine,"1,344,212",811,0.226,6.2,,,
New Hampshire,"1,359,711",757,0.144,13.8,,,
Hawaii,"1,415,872","36,620",0.451,2.1,,,
Idaho,"1,787,065","3,367",0.569,8.8,,,
West Virginia,"1,792,147",197,0.542,5.6,,,
Nebraska,"1,934,408","5,849",0.198,3.7,,,
New Mexico,"2,096,829","11,485",0.499,4.3,,,
Kansas,"2,913,314","21,604",0.322,4.1,,,
Mississippi,"2,976,149","11,554",0.428,2.3,,,
Arkansas,"3,017,804","3,190",0.579,7,,,
Nevada,"3,080,156","10,322",0.375,3.8,,,
Iowa,"3,155,070",248,0.338,3.6,,,
Utah,"3,205,958","3,979",0.319,4.7,,,
Connecticut,"3,565,287","4,641",0.166,2.2,,,
Oklahoma,"3,956,971","19,802",0.312,5.1,,,
Oregon,"4,217,737","1,572",0.266,5.6,,,
Kentucky,"4,467,673","31,418",0.424,3.2,,,
Louisiana,"4,648,794","13,122",0.445,2.8,,,
Alabama,"4,903,185","8,750",0.489,5.8,,,
South Carolina,"5,148,714","37,507",0.428,4.3,,,
Minnesota,"5,639,632",597,0.367,3.3,,,
Colorado,"5,758,736","34,460",0.343,6.2,,,
Wisconsin,"5,822,434",976,0.347,3.6,,,
Maryland,"6,045,680","28,888",0.207,2.3,,,
Missouri,"6,137,428","17,072",0.271,4.6,,,
Indiana,"6,732,219",963,0.338,3.6,,,
Tennessee,"6,829,174","2,095",0.394,6.8,,,
Massachusetts,"6,892,503","3,573",0.226,1.9,,,
Arizona,"7,278,717","18,297",0.323,3.1,,,
Washington,"7,614,893","45,343",0.277,6.5,,,
Virginia,"8,535,519","89,303",0.293,3.7,,,
New Jersey,"8,882,190","7,669",0.113,2.2,,,
Michigan,"9,986,857","2,088",0.288,3.3,,,
North Carolina,"10,488,084","91,175",0.287,5.2,,,
Georgia,"10,617,423","61,322",0.316,2.3,,,
Ohio,"11,689,100","6,793",0.196,3.1,,,
Illinois,"12,671,821","20,567",0.262,2.3,,,
Pennsylvania,"12,801,989","2,580",0.271,2.3,,,
New York,"19,453,561","20,588",0.103,1.4,,,
Florida,"21,477,737","55,862",0.325,2.3,,,
Texas,"28,995,881","110,913",0.357,2.9,,,
California,"39,512,223","128,373",0.201,1.3,,,
