TATE,VOTES,POPULATION,votes/pop
Texas,79,"27,500,000",2.9
North Carolina,52,"10,000,000",5.2
California,52,"39,100,000",1.3
Washington,47,"7,200,000",6.5
Florida,46,"20,300,000",2.3
Tennessee,45,"6,600,000",6.8
Ohio,36,"11,600,000",3.1
Georgia,35,"10,200,000",3.4
Colorado,34,"5,500,000",6.2
Michigan,33,"9,900,000",3.3
Virginia,31,"8,400,000",3.7
Illinois,30,"12,900,000",2.3
Pennsylvania,29,"12,800,000",2.3
Alabama,28,"4,800,000",5.8
Missouri,28,"6,100,000",4.6
New York,27,"19,800,000",1.4
Indiana,24,"6,600,000",3.6
Arkansas,21,"3,000,000",7
Oregon,21,"4,000,000",5.3
South Carolina,21,"4,900,000",4.3
Wisconsin,21,"5,800,000",3.6
Arizona,21,"6,800,000",3.1
Oklahoma,20,"3,900,000",5.1
New Jersey,20,"9,000,000",2.2
New Hampshire,18,"1,300,000",13.8
Iowa,18,"3,100,000",5.8
Minnesota,18,"5,500,000",3.3
Idaho,15,"1,700,000",8.8
Utah,14,"3,000,000",4.7
Kentucky,14,"4,400,000",3.2
Maryland,14,"6,000,000",2.3
Louisiana,13,"4,700,000",2.8
Massachusetts,13,"6,800,000",1.9
Kansas,12,"2,900,000",4.1
Nevada,11,"2,900,000",3.8
West Virginia,10,"1,800,000",5.6
New Mexico,9,"2,100,000",4.3
Wyoming,8,"600,000",13.3
Maine,8,"1,300,000",6.2
Connecticut,8,"3,600,000",2.2
Vermont,7,"600,000",11.7
North Dakota,7,"800,000",8.8
Montana,7,"1,000,000",7
Nebraska,7,"1,900,000",3.7
Mississippi,7,"3,000,000",2.3
Alaska,6,"700,000",8.6
South Dakota,5,"900,000",5.6
Hawaii,3,"1,400,000",2.1
Delaware,2,"900,000",2.2
Rhode Island,2,"1,100,000",1.8
