State,Population Density,Active Military Personnel,Gun Owners,Preppers,TOTAL,Rank
Alaska,3,18,1,6,28,1
North Dakota,4,27,9,5,45,2
Texas,,2,18,26,46,3
Wyoming,1,38,5,2,46,4
Idaho,12,33,3,5,53,5
Montana,8,34,6,8,56,6
Tennessee,35,,15,9,59,7
Arkansas,18,37,2,7,64,8
New Mexico,15,22,7,23,67,9
South Carolina,28,8,12,22,70,10
Colorado,30,10,21,11,72,11
Kentucky,25,11,14,24,74,12
Hawaii,11,9,10,46,76,13
South Dakota,5,38,19,16,78,14
Kansas,16,13,26,24,79,15
West Virginia,13,49,4,15,81,16
Alabama,27,34,8,13,82,17
Nevada,19,23,16,25,83,18
Vermont,2,50,31,3,86,19
Oklahoma,23,16,29,19,87,20
Washington,38,7,34,10,89,21
Mississippi,17,21,13,42,93,22
Louisiana,26,20,11,37,94,23
North Carolina,42,3,33,18,96,24
Utah,21,30,27,20,98,25
Virginia,39,4,30,27,100,26
Iowa,20,48,22,14,104,27
New Hampshire,10,47,46,1,104,28
Maine,9,45,40,12,106,29
Georgia,43,6,28,30,107,30
Missouri,33,19,36,21,109,31
Nebraska,14,28,43,27,112,32
Arizona,37,17,25,35,114,33
Ohio,44,26,44,,114,34
Florida,48,5,24,38,115,35
Oregon,24,42,37,17,120,36
Wisconsin,31,44,20,29,124,37
Minnesota,29,47,17,32,125,38
Maryland,32,12,41,41,126,39
Indiana,34,44,23,28,129,40
Rhode Island,7,32,49,48,136,41
Delaware,6,35,50,46,137,42
Illinois,45,15,38,39,137,43
Connecticut,22,29,45,44,140,44
California,50,1,42,50,143,45
Michigan,41,41,32,31,145,46
Massachusetts,36,31,39,47,153,47
New Jersey,40,25,47,43,155,48
New York,47,14,48,49,158,49
Pennsylvania,46,39,35,40,160,50
